"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 13:28:55 GMT 2021","Thu Aug 19 13:29:03 GMT 2021","8496","","Tests.TestLogin.TestLogin","","Tests.TestLogin.TestLogin","TestBelepes","A bejelentkezést helyes folyamatát ellenörzöm",""
"broken","Thu Aug 19 13:29:13 GMT 2021","Thu Aug 19 13:29:20 GMT 2021","7333","","Tests.TestContact.TestContact","","Tests.TestContact.TestContact","TestContact","Kontakt formot ellenörzöm bevitt adatokkal",""
"passed","Thu Aug 19 13:28:32 GMT 2021","Thu Aug 19 13:28:35 GMT 2021","3123","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestIndexPage","Klikkelek az összes hirdetés linkre a nyitóoldalon",""
"broken","Thu Aug 19 13:28:35 GMT 2021","Thu Aug 19 13:28:46 GMT 2021","10530","","Tests.TestLogout.TestLogout","","Tests.TestLogout.TestLogout","TestLogout","Belépés után a szabályos kijelentkezést ellenörzöm",""
"passed","Thu Aug 19 13:28:27 GMT 2021","Thu Aug 19 13:28:32 GMT 2021","5545","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestAllAdvertContent","Ellenörzöm hirdetés nem nyomja-e szét az oldalt",""
"passed","Thu Aug 19 13:28:16 GMT 2021","Thu Aug 19 13:28:27 GMT 2021","11071","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestSaveAdvertTitleToFile","Mentem a hirdetések címét egy fájlba, majd ráellenörzök dbszám szerint",""
"passed","Thu Aug 19 13:29:20 GMT 2021","Thu Aug 19 13:29:33 GMT 2021","12610","","Tests.TestAdvertModify.TestAdvertModify","","Tests.TestAdvertModify.TestAdvertModify","TestHirdModositas","Belépek egy hirdetésbe amit modosítok",""
"passed","Thu Aug 19 13:27:55 GMT 2021","Thu Aug 19 13:28:15 GMT 2021","19988","","Tests.TestAdatKezelesi.TestAdatKezelesi","","Tests.TestAdatKezelesi.TestAdatKezelesi","TestAdatKezelesi","Megnyitom az adatkezelési nyilatkozatot",""
"passed","Thu Aug 19 13:29:08 GMT 2021","Thu Aug 19 13:29:13 GMT 2021","4797","","Tests.TestSearch.TestSearch","","Tests.TestSearch.TestSearch","TestSearch","TestSearch()",""
"passed","Thu Aug 19 13:29:03 GMT 2021","Thu Aug 19 13:29:08 GMT 2021","4605","","Tests.TestNewPwd.TestNewPwd","","Tests.TestNewPwd.TestNewPwd","TestNewPwd","Ellenörzöm a jelszóemlékeztető helyes működését",""
"passed","Thu Aug 19 13:28:46 GMT 2021","Thu Aug 19 13:28:55 GMT 2021","8704","","Tests.TestRegistration.TestRegistration","","Tests.TestRegistration.TestRegistration","TestRegistration","TestRegistration()",""
